规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0266,支出,摘要或备注,包含,保洁,,,经营类,运营成本,其他运营成本,910,词库
R0267,支出,摘要或备注,包含,清洁,,,经营类,运营成本,其他运营成本,910,词库
R0268,支出,摘要或备注,包含,银信,,,经营类,运营成本,其他运营成本,910,词库
R0269,支出,摘要或备注,包含,快递,,,经营类,运营成本,其他运营成本,910,词库
R0270,支出,摘要或备注,包含,名片费,,,经营类,运营成本,其他运营成本,910,词库
R0271,支出,摘要或备注,包含,税审费,,,经营类,运营成本,其他运营成本,910,词库
R0272,支出,摘要或备注,包含,推广,,,经营类,运营成本,其他运营成本,910,词库
R0273,支出,摘要或备注,包含,培训,,,经营类,运营成本,其他运营成本,910,词库
R0274,支出,摘要或备注,包含,专利,,,经营类,运营成本,其他运营成本,910,词库
R0275,支出,摘要或备注,包含,会费,,,经营类,运营成本,其他运营成本,910,词库
R0276,支出,摘要或备注,包含,年费,,,经营类,运营成本,其他运营成本,910,词库
R0277,支出,摘要或备注,包含,审核费,,,经营类,运营成本,其他运营成本,910,词库
R0278,支出,摘要或备注,包含,续费,,,经营类,运营成本,其他运营成本,910,词库
R0279,支出,摘要或备注,包含,活杂费,,,经营类,运营成本,其他运营成本,910,词库
R0280,支出,摘要或备注,包含,购置费,,,经营类,运营成本,其他运营成本,910,词库
R0281,支出,摘要或备注,包含,调查费,,,经营类,运营成本,其他运营成本,910,词库
R0282,支出,摘要或备注,包含,专家费,,,经营类,运营成本,其他运营成本,910,词库
R0283,支出,摘要或备注,包含,参展费,,,经营类,运营成本,其他运营成本,910,词库
R0284,支出,摘要或备注,包含,活动用款,,,经营类,运营成本,其他运营成本,910,词库
R0285,支出,摘要或备注,包含,摊位费,,,经营类,运营成本,其他运营成本,910,词库
R0286,支出,摘要或备注,包含,月租费,,,经营类,运营成本,其他运营成本,910,词库
R0287,支出,摘要或备注,包含,平台费,,,经营类,运营成本,其他运营成本,910,词库
R0288,支出,摘要或备注,包含,订舱费,,,经营类,运营成本,其他运营成本,910,词库
R0289,支出,摘要或备注,包含,发行费,,,经营类,运营成本,其他运营成本,910,词库
R0290,支出,摘要或备注,包含,市场费,,,经营类,运营成本,其他运营成本,910,词库
R0291,支出,摘要或备注,包含,运营费,,,经营类,运营成本,其他运营成本,910,词库
